,star rating,title,content rating,genre,duration,actors list,mean rating,duration bool,duration_bool
828,7.5,Gangs of New York,R,Crime,167,"L, e, o, n, a, r, d, o,  , D, i, C, a, p, r, i, o, ,,  , C, a, m, e, r, o, n,  , D, i, a, z, ,,  , D, a, n, i, e, l,  , D, a, y, -, L, e, w, i, s",7.916935483870968,1,1
183,8.2,Underground,NOT RATED,Comedy,167,"P, r, e, d, r, a, g,  , M, a, n, o, j, l, o, v, i, c, ,,  , L, a, z, a, r,  , R, i, s, t, o, v, s, k, i, ,,  , M, i, r, j, a, n, a,  , J, o, k, o, v, i, c",7.822435897435897,1,1
221,8.1,Solaris,PG,Drama,167,"N, a, t, a, l, y, a,  , B, o, n, d, a, r, c, h, u, k, ,,  , D, o, n, a, t, a, s,  , B, a, n, i, o, n, i, s, ,,  , J, ü, r, i,  , J, ä, r, v, e, t",7.902517985611511,1,1
508,7.8,The Curious Case of Benjamin Button,PG-13,Drama,166,"B, r, a, d,  , P, i, t, t, ,,  , C, a, t, e,  , B, l, a, n, c, h, e, t, t, ,,  , T, i, l, d, a,  , S, w, i, n, t, o, n",7.902517985611511,1,1
43,8.5,The Dark Knight Rises,PG-13,Action,165,"C, h, r, i, s, t, i, a, n,  , B, a, l, e, ,,  , T, o, m,  , H, a, r, d, y, ,,  , A, n, n, e,  , H, a, t, h, a, w, a, y",7.884558823529411,1,1
373,8.0,My Name Is Khan,PG-13,Drama,165,"S, h, a, h,  , R, u, k, h,  , K, h, a, n, ,,  , K, a, j, o, l, ,,  , S, h, e, e, t, a, l,  , M, e, n, o, n",7.902517985611511,1,1
226,8.1,Boyhood,R,Drama,165,"E, l, l, a, r,  , C, o, l, t, r, a, n, e, ,,  , P, a, t, r, i, c, i, a,  , A, r, q, u, e, t, t, e, ,,  , E, t, h, a, n,  , H, a, w, k, e",7.902517985611511,1,1
59,8.5,Django Unchained,R,Western,165,"J, a, m, i, e,  , F, o, x, x, ,,  , C, h, r, i, s, t, o, p, h,  , W, a, l, t, z, ,,  , L, e, o, n, a, r, d, o,  , D, i, C, a, p, r, i, o",8.255555555555555,1,1
47,8.5,Taare Zameen Par,PG,Drama,165,"D, a, r, s, h, e, e, l,  , S, a, f, a, r, y, ,,  , A, a, m, i, r,  , K, h, a, n, ,,  , T, a, n, a, y,  , C, h, h, e, d, a",7.902517985611511,1,1
202,8.1,La leggenda del pianista sull'oceano,R,Drama,165,"T, i, m,  , R, o, t, h, ,,  , P, r, u, i, t, t,  , T, a, y, l, o, r,  , V, i, n, c, e, ,,  , B, i, l, l,  , N, u, n, n",7.902517985611511,1,1
734,7.6,The Last Temptation of Christ,R,Drama,164,"W, i, l, l, e, m,  , D, a, f, o, e, ,,  , H, a, r, v, e, y,  , K, e, i, t, e, l, ,,  , B, a, r, b, a, r, a,  , H, e, r, s, h, e, y",7.902517985611511,1,1
720,7.6,Munich,R,Drama,164,"E, r, i, c,  , B, a, n, a, ,,  , D, a, n, i, e, l,  , C, r, a, i, g, ,,  , M, a, r, i, e, -, J, o, s, é, e,  , C, r, o, z, e",7.902517985611511,1,1
536,7.8,The Last Emperor,PG-13,Biography,163,"J, o, h, n,  , L, o, n, e, ,,  , J, o, a, n,  , C, h, e, n, ,,  , P, e, t, e, r,  , O, ', T, o, o, l, e",7.862337662337662,1,1
181,8.2,Stalker,NOT RATED,Drama,163,"A, l, i, s, a,  , F, r, e, y, n, d, l, i, k, h, ,,  , A, l, e, k, s, a, n, d, r,  , K, a, y, d, a, n, o, v, s, k, i, y, ,,  , A, n, a, t, o, l, i, y,  , S, o, l, o, n, i, t, s, y, n",7.902517985611511,1,1
129,8.3,Ran,R,Action,162,"T, a, t, s, u, y, a,  , N, a, k, a, d, a, i, ,,  , A, k, i, r, a,  , T, e, r, a, o, ,,  , J, i, n, p, a, c, h, i,  , N, e, z, u",7.884558823529411,1,1
707,7.6,Watchmen,R,Action,162,"J, a, c, k, i, e,  , E, a, r, l, e,  , H, a, l, e, y, ,,  , P, a, t, r, i, c, k,  , W, i, l, s, o, n, ,,  , C, a, r, l, a,  , G, u, g, i, n, o",7.884558823529411,1,1
711,7.6,The Godfather: Part III,R,Crime,162,"A, l,  , P, a, c, i, n, o, ,,  , D, i, a, n, e,  , K, e, a, t, o, n, ,,  , A, n, d, y,  , G, a, r, c, i, a",7.916935483870968,1,1
968,7.4,The English Patient,R,Drama,162,"R, a, l, p, h,  , F, i, e, n, n, e, s, ,,  , J, u, l, i, e, t, t, e,  , B, i, n, o, c, h, e, ,,  , W, i, l, l, e, m,  , D, a, f, o, e",7.902517985611511,1,1
433,7.9,Avatar,PG-13,Action,162,"S, a, m,  , W, o, r, t, h, i, n, g, t, o, n, ,,  , Z, o, e,  , S, a, l, d, a, n, a, ,,  , S, i, g, o, u, r, n, e, y,  , W, e, a, v, e, r",7.884558823529411,1,1
137,8.3,The Bridge on the River Kwai,PG,Adventure,161,"W, i, l, l, i, a, m,  , H, o, l, d, e, n, ,,  , A, l, e, c,  , G, u, i, n, n, e, s, s, ,,  , J, a, c, k,  , H, a, w, k, i, n, s",7.933333333333334,1,1
6,8.9,"The Good, the Bad and the Ugly",NOT RATED,Western,161,"C, l, i, n, t,  , E, a, s, t, w, o, o, d, ,,  , E, l, i,  , W, a, l, l, a, c, h, ,,  , L, e, e,  , V, a, n,  , C, l, e, e, f",8.255555555555555,1,1
359,8.0,The Hobbit: The Desolation of Smaug,PG-13,Adventure,161,"I, a, n,  , M, c, K, e, l, l, e, n, ,,  , M, a, r, t, i, n,  , F, r, e, e, m, a, n, ,,  , R, i, c, h, a, r, d,  , A, r, m, i, t, a, g, e",7.933333333333334,1,1
257,8.1,Anatomy of a Murder,UNRATED,Crime,160,"J, a, m, e, s,  , S, t, e, w, a, r, t, ,,  , L, e, e,  , R, e, m, i, c, k, ,,  , B, e, n,  , G, a, z, z, a, r, a",7.916935483870968,1,1
99,8.4,Amadeus,R,Biography,160,"F, .,  , M, u, r, r, a, y,  , A, b, r, a, h, a, m, ,,  , T, o, m,  , H, u, l, c, e, ,,  , E, l, i, z, a, b, e, t, h,  , B, e, r, r, i, d, g, e",7.862337662337662,1,1
807,7.6,The Assassination of Jesse James by the Coward Robert Ford,R,Biography,160,"B, r, a, d,  , P, i, t, t, ,,  , C, a, s, e, y,  , A, f, f, l, e, c, k, ,,  , S, a, m,  , S, h, e, p, a, r, d",7.862337662337662,1,1
110,8.3,2001: A Space Odyssey,G,Mystery,160,"K, e, i, r,  , D, u, l, l, e, a, ,,  , G, a, r, y,  , L, o, c, k, w, o, o, d, ,,  , W, i, l, l, i, a, m,  , S, y, l, v, e, s, t, e, r",7.975,1,1
430,7.9,Breaking the Waves,R,Drama,159,"E, m, i, l, y,  , W, a, t, s, o, n, ,,  , S, t, e, l, l, a, n,  , S, k, a, r, s, g, å, r, d, ,,  , K, a, t, r, i, n,  , C, a, r, t, l, i, d, g, e",7.902517985611511,1,1
649,7.7,Where Eagles Dare,,Action,158,"R, i, c, h, a, r, d,  , B, u, r, t, o, n, ,,  , C, l, i, n, t,  , E, a, s, t, w, o, o, d, ,,  , M, a, r, y,  , U, r, e",7.884558823529411,1,1
466,7.9,The Girl with the Dragon Tattoo,R,Crime,158,"D, a, n, i, e, l,  , C, r, a, i, g, ,,  , R, o, o, n, e, y,  , M, a, r, a, ,,  , C, h, r, i, s, t, o, p, h, e, r,  , P, l, u, m, m, e, r",7.916935483870968,1,1
213,8.1,There Will Be Blood,R,Drama,158,"D, a, n, i, e, l,  , D, a, y, -, L, e, w, i, s, ,,  , P, a, u, l,  , D, a, n, o, ,,  , C, i, a, r, á, n,  , H, i, n, d, s",7.902517985611511,1,1
678,7.7,Les Miserables,PG-13,Drama,158,"H, u, g, h,  , J, a, c, k, m, a, n, ,,  , R, u, s, s, e, l, l,  , C, r, o, w, e, ,,  , A, n, n, e,  , H, a, t, h, a, w, a, y",7.902517985611511,1,1
955,7.4,Zero Dark Thirty,R,Drama,157,"J, e, s, s, i, c, a,  , C, h, a, s, t, a, i, n, ,,  , J, o, e, l,  , E, d, g, e, r, t, o, n, ,,  , C, h, r, i, s,  , P, r, a, t, t",7.902517985611511,1,1
500,7.8,American Gangster,R,Biography,157,"D, e, n, z, e, l,  , W, a, s, h, i, n, g, t, o, n, ,,  , R, u, s, s, e, l, l,  , C, r, o, w, e, ,,  , C, h, i, w, e, t, e, l,  , E, j, i, o, f, o, r",7.862337662337662,1,1
72,8.4,Rang De Basanti,NOT RATED,Drama,157,"A, a, m, i, r,  , K, h, a, n, ,,  , S, o, h, a,  , A, l, i,  , K, h, a, n, ,,  , S, i, d, d, h, a, r, t, h",7.902517985611511,1,1
755,7.6,"Lust, Caution",NC-17,Drama,157,"T, o, n, y,  , C, h, i, u,  , W, a, i,  , L, e, u, n, g, ,,  , W, e, i,  , T, a, n, g, ,,  , J, o, a, n,  , C, h, e, n",7.902517985611511,1,1
727,7.6,Harry Potter and the Goblet of Fire,PG-13,Adventure,157,"D, a, n, i, e, l,  , R, a, d, c, l, i, f, f, e, ,,  , E, m, m, a,  , W, a, t, s, o, n, ,,  , R, u, p, e, r, t,  , G, r, i, n, t",7.933333333333334,1,1
677,7.7,Zodiac,R,Crime,157,"J, a, k, e,  , G, y, l, l, e, n, h, a, a, l, ,,  , R, o, b, e, r, t,  , D, o, w, n, e, y,  , J, r, ., ,,  , M, a, r, k,  , R, u, f, f, a, l, o",7.916935483870968,1,1
423,7.9,The Insider,R,Biography,157,"R, u, s, s, e, l, l,  , C, r, o, w, e, ,,  , A, l,  , P, a, c, i, n, o, ,,  , C, h, r, i, s, t, o, p, h, e, r,  , P, l, u, m, m, e, r",7.862337662337662,1,1
125,8.3,Downfall,R,Biography,156,"B, r, u, n, o,  , G, a, n, z, ,,  , A, l, e, x, a, n, d, r, a,  , M, a, r, i, a,  , L, a, r, a, ,,  , U, l, r, i, c, h,  , M, a, t, t, h, e, s",7.862337662337662,1,1
374,8.0,Scent of a Woman,R,Drama,156,"A, l,  , P, a, c, i, n, o, ,,  , C, h, r, i, s,  , O, ', D, o, n, n, e, l, l, ,,  , J, a, m, e, s,  , R, e, b, h, o, r, n",7.902517985611511,1,1
66,8.4,Munna Bhai M.B.B.S.,NOT RATED,Comedy,156,"S, u, n, i, l,  , D, u, t, t, ,,  , S, a, n, j, a, y,  , D, u, t, t, ,,  , A, r, s, h, a, d,  , W, a, r, s, i",7.822435897435897,1,1
457,7.9,Boogie Nights,R,Drama,155,"M, a, r, k,  , W, a, h, l, b, e, r, g, ,,  , J, u, l, i, a, n, n, e,  , M, o, o, r, e, ,,  , B, u, r, t,  , R, e, y, n, o, l, d, s",7.902517985611511,1,1
50,8.5,Cinema Paradiso,R,Drama,155,"P, h, i, l, i, p, p, e,  , N, o, i, r, e, t, ,,  , E, n, z, o,  , C, a, n, n, a, v, a, l, e, ,,  , A, n, t, o, n, e, l, l, a,  , A, t, t, i, l, i",7.902517985611511,1,1
44,8.5,Gladiator,R,Action,155,"R, u, s, s, e, l, l,  , C, r, o, w, e, ,,  , J, o, a, q, u, i, n,  , P, h, o, e, n, i, x, ,,  , C, o, n, n, i, e,  , N, i, e, l, s, e, n",7.884558823529411,1,1
426,7.9,A Prophet,R,Crime,155,"T, a, h, a, r,  , R, a, h, i, m, ,,  , N, i, e, l, s,  , A, r, e, s, t, r, u, p, ,,  , A, d, e, l,  , B, e, n, c, h, e, r, i, f",7.916935483870968,1,1
205,8.1,Amores Perros,R,Drama,154,"E, m, i, l, i, o,  , E, c, h, e, v, a, r, r, í, a, ,,  , G, a, e, l,  , G, a, r, c, í, a,  , B, e, r, n, a, l, ,,  , G, o, y, a,  , T, o, l, e, d, o",7.902517985611511,1,1
613,7.7,The Last Samurai,R,Action,154,"T, o, m,  , C, r, u, i, s, e, ,,  , K, e, n,  , W, a, t, a, n, a, b, e, ,,  , B, i, l, l, y,  , C, o, n, n, o, l, l, y",7.884558823529411,1,1
836,7.5,Jackie Brown,R,Crime,154,"P, a, m,  , G, r, i, e, r, ,,  , S, a, m, u, e, l,  , L, .,  , J, a, c, k, s, o, n, ,,  , R, o, b, e, r, t,  , F, o, r, s, t, e, r",7.916935483870968,1,1
4,8.9,Pulp Fiction,R,Crime,154,"J, o, h, n,  , T, r, a, v, o, l, t, a, ,,  , U, m, a,  , T, h, u, r, m, a, n, ,,  , S, a, m, u, e, l,  , L, .,  , J, a, c, k, s, o, n",7.916935483870968,1,1
540,7.8,The Color Purple,PG-13,Drama,154,"D, a, n, n, y,  , G, l, o, v, e, r, ,,  , W, h, o, o, p, i,  , G, o, l, d, b, e, r, g, ,,  , O, p, r, a, h,  , W, i, n, f, r, e, y",7.902517985611511,1,1
504,7.8,Empire of the Sun,PG,Drama,153,"C, h, r, i, s, t, i, a, n,  , B, a, l, e, ,,  , J, o, h, n,  , M, a, l, k, o, v, i, c, h, ,,  , M, i, r, a, n, d, a,  , R, i, c, h, a, r, d, s, o, n",7.902517985611511,1,1
